	Hotel Name	Price	Amenities	Reviews	Photos
0	Roseate House New Delhi	₹5,849	, Free parking, Free High Speed Internet (WiFi), Pool, Fitness Center with Gym / Workout Room, Free breakfast, Entertainment staff, Kids stay free, Babysitting, Valet parking, Wifi, Hot tub, Pool / beach towels, Infinity pool, Rooftop pool, Outdoor pool, Bar / lounge, Restaurant, Breakfast available, Breakfast buffet, Complimentary instant cofffee, Poolside bar, Rooftop bar, Free shuttle or taxi services, Airport transportation, Shuttle bus service, Car hire, Taxi service, Business Center with Internet Access, Conference facilities, Banquet room, Meeting rooms, Fax / photocopying, Spa, Massage, Salon, 24-hour security, Baggage storage, Concierge, Currency exchange, Newspaper, Non-smoking hotel, Butler service, Doorperson, 24-hour front desk, Express check-in / check-out, Private check-in / check-out, Dry cleaning, Laundry service, Self-serve laundry, Ironing service, Shoeshine, Soundproof rooms, Air conditioning, Room service, Safe, VIP room facilities, Coffee / tea maker, Flatscreen TV, Hair dryer, Iron, Minibar, On-demand movies, Non-smoking rooms, Suites, Family rooms, Smoking rooms available	5.0	https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/dc/bd/b4/roseate-house-new-delhi.jpg?w=900&h=-1&s=1
1	The Roseate New Delhi	₹7,613	, Free parking, Free High Speed Internet (WiFi), Pool, Fitness Center with Gym / Workout Room, Bar / lounge, Entertainment staff, Kids stay free, Children Activities (Kid / Family Friendly), Valet parking, Wifi, Hot tub, Outdoor pool, Sauna, Restaurant, Breakfast available, Breakfast buffet, Kids club, Car hire, Taxi service, Business Center with Internet Access, Conference facilities, Banquet room, Meeting rooms, Fax / photocopying, Spa, Couples massage, Full body massage, Head massage, Massage, 24-hour security, Baggage storage, Concierge, Gift shop, Butler service, Doorperson, 24-hour front desk, Express check-in / check-out, Dry cleaning, Laundry service, Ironing service, Shoeshine, Allergy-free room, Blackout curtains, Air conditioning, Housekeeping, Interconnected rooms available, Minibar, Flatscreen TV, Bath / shower, Bathrobes, Room service, Safe, Bottled water, Iron, Refrigerator, Pool view, Non-smoking rooms, Family rooms	4.5	https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/db/ce/fc/kiyan-pathway.jpg?w=900&h=-1&s=1
2	Hotel Novotel New Delhi Aerocity	NA	, Free parking, Free High Speed Internet (WiFi), Pool, Fitness Center with Gym / Workout Room, Free breakfast, Kids stay free, Babysitting, Airport transportation, Valet parking, Wifi, Pool / beach towels, Outdoor pool, Fitness / spa locker rooms, Sauna, Bar / lounge, Restaurant, Breakfast available, Breakfast buffet, Swimup bar, Car hire, Taxi service, Business Center with Internet Access, Conference facilities, Banquet room, Meeting rooms, Fax / photocopying, Spa, Massage, Salon, 24-hour security, Baggage storage, Concierge, Currency exchange, Newspaper, Butler service, Doorperson, 24-hour check-in, 24-hour front desk, Express check-in / check-out, Private check-in / check-out, Dry cleaning, Laundry service, Ironing service, Shoeshine, Air conditioning, Housekeeping, Room service, Safe, VIP room facilities, Minibar, Refrigerator, Flatscreen TV, Iron, Wake-up service / alarm clock, Non-smoking rooms, Suites, Family rooms, Smoking rooms available	4.5	https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/47/81/a2/novotel-new-delhi-aerocity.jpg?w=900&h=-1&s=1
3	Radisson Blu Plaza Delhi Airport	₹6,800	, Free parking, Free High Speed Internet (WiFi), Pool, Fitness Center with Gym / Workout Room, Free breakfast, Nightclub / DJ, Kids stay free, Babysitting, Valet parking, Wifi, Hot tub, Outdoor pool, Fitness / spa locker rooms, Fitness classes, Sauna, Bar / lounge, Coffee shop, Restaurant, Breakfast available, Breakfast buffet, Breakfast in the room, Happy hour, Kid-friendly buffet, Kids' meals, Outdoor dining area, Airport transportation, Shuttle bus service, Car hire, Taxi service, Business Center with Internet Access, Conference facilities, Banquet room, Meeting rooms, Fax / photocopying, Photo copier / fax In business center, Spa, Couples massage, Facial treatments, Full body massage, Hand massage, Head massage, Manicure, Neck massage, Pedicure, Salon, Steam room, Waxing services, 24-hour security, Baggage storage, Concierge, Currency exchange, Gift shop, Newspaper, Shops, ATM on site, Butler service, Doorperson, First aid kit, Umbrella, 24-hour front desk, Express check-in / check-out, Dry cleaning, Laundry service, Ironing service, Shoeshine, Allergy-free room, Blackout curtains, Air conditioning, Additional bathroom, Coffee / tea maker, Flatscreen TV, Extra long beds, Bath / shower, Soundproof rooms, Bathrobes, Desk, Dining area, Housekeeping, Interconnected rooms available, Room service, Safe, Seating area, Sofa, Telephone, VIP room facilities, Wardrobe / closet, Bottled water, Clothes rack, Iron, Laptop safe, Private bathrooms, Wake-up service / alarm clock, Minibar, On-demand movies, Sofa bed, Complimentary toiletries, Hair dryer, City view, Pool view, Bridal suite, Non-smoking rooms, Suites, Family rooms, Smoking rooms available	4.5	https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/a7/e1/74/pool--v13693504.jpg?w=900&h=-1&s=1
4	Eros Hotel	₹9,099	, Free parking, Free internet, Pool, Fitness Center with Gym / Workout Room, Bar / lounge, Nightclub / DJ, Babysitting, Airport transportation, Valet parking, Wifi, Paid wifi, Outdoor pool, Fitness / spa locker rooms, Restaurant, Breakfast available, Breakfast buffet, Special diet menus, Car hire, Taxi service, Business Center with Internet Access, Conference facilities, Banquet room, Meeting rooms, Spa, Salon, Steam room, 24-hour security, Baggage storage, Concierge, Currency exchange, Shops, Butler service, Doorperson, 24-hour front desk, Dry cleaning, Laundry service, Ironing service, Shoeshine, Air conditioning, Room service, Safe, VIP room facilities, Minibar, Refrigerator, Flatscreen TV, Non-smoking rooms, Suites, Family rooms, Smoking rooms available	4.5	https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/2a/da/fc/p-20180811-092755-1-p.jpg?w=900&h=-1&s=1
5	Lemon Tree Premier, Delhi Airport	₹6,481	, Free parking, Free High Speed Internet (WiFi), Pool, Fitness Center with Gym / Workout Room, Free breakfast, Kids stay free, Babysitting, Free airport transportation, Valet parking, Wifi, Paid wifi, Outdoor pool, Bar / lounge, Coffee shop, Restaurant, Breakfast buffet, Breakfast in the room, Snack bar, Special diet menus, Poolside bar, Children Activities (Kid / Family Friendly), Airport transportation, Car hire, Taxi service, Business Center with Internet Access, Conference facilities, Banquet room, Meeting rooms, Fax / photocopying, Spa, Massage, 24-hour security, Baggage storage, Concierge, Currency exchange, Newspaper, Butler service, Doorperson, 24-hour check-in, 24-hour front desk, Express check-in / check-out, Dry cleaning, Laundry service, Ironing service, Shoeshine, Air conditioning, Room service, Safe, VIP room facilities, Coffee / tea maker, Minibar, Flatscreen TV, Hair dryer, Iron, Wake-up service / alarm clock, Non-smoking rooms, Suites, Family rooms, Smoking rooms available	4.5	https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/5e/2b/9b/pool--v12277862.jpg?w=900&h=-1&s=1
6	Ginger East Delhi	NA	, Free parking, Free High Speed Internet (WiFi), Fitness Center with Gym / Workout Room, Free breakfast, Airport transportation, Conference facilities, Meeting rooms, 24-hour security, Parking, Wifi, Restaurant, Breakfast available, Breakfast buffet, Vending machine, Car hire, Fax / photocopying, Baggage storage, Concierge, Currency exchange, Newspaper, Non-smoking hotel, 24-hour front desk, Dry cleaning, Laundry service, Ironing service, Air conditioning, Desk, Housekeeping, Room service, Coffee / tea maker, Refrigerator, Flatscreen TV, Complimentary toiletries, Safe, Telephone, Bottled water, Iron, Wake-up service / alarm clock, Non-smoking rooms, Suites, Family rooms	4.5	https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/b0/34/8d/lobby.jpg?w=900&h=-1&s=1
7	Vivanta New Delhi Dwarka	NA	, Free parking, Free High Speed Internet (WiFi), Pool, Fitness Center with Gym / Workout Room, Free breakfast, Badminton, Bicycles available, Kids stay free, Valet parking, Wifi, Paid wifi, Hot tub, Outdoor pool, Yoga classes, Fitness / spa locker rooms, Fitness classes, Personal trainer, Bar / lounge, Coffee shop, Restaurant, Breakfast available, Breakfast buffet, Complimentary welcome drink, Happy hour, Kids' meals, Outdoor dining area, Wine / champagne, Poolside bar, Game room, Aerobics, Books, DVDs, music for children, Kids pool, Highchairs available, Airport transportation, Car hire, Taxi service, Business Center with Internet Access, Conference facilities, Banquet room, Meeting rooms, Fax / photocopying, Spa, Couples massage, Facial treatments, Foot massage, Full body massage, Hand massage, Head massage, Light therapy, Makeup services, Manicure, Massage, Neck massage, Pedicure, Salon, Steam room, Waxing services, 24-hour security, Baggage storage, Concierge, Currency exchange, Gift shop, Newspaper, Butler service, Doorperson, Umbrella, 24-hour check-in, 24-hour front desk, Express check-in / check-out, Dry cleaning, Laundry service, Ironing service, Shoeshine, Bathrobes, Air conditioning, Additional bathroom, Dining area, Housekeeping, Coffee / tea maker, Cable / satellite TV, Walk-in shower, Interconnected rooms available, Room service, Safe, Seating area, Separate living room, Sofa, Telephone, VIP room facilities, Wardrobe / closet, Bottled water, Clothes rack, Iron, Laptop safe, Wake-up service / alarm clock, Minibar, Flatscreen TV, Bath / shower, Complimentary toiletries, Hair dryer, City view, Non-smoking rooms, Suites, Family rooms, Smoking rooms available	4.5	https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/31/55/b0/exterior.jpg?w=900&h=-1&s=1
8	Taj Palace, New Delhi	₹3,952	, Free parking, Free internet, Pool, Fitness Center with Gym / Workout Room, Bar / lounge, Mini golf, Patio, Babysitting, Valet parking, Wifi, Paid wifi, Pool / beach towels, Outdoor pool, Yoga classes, Yoga room, Fitness / spa locker rooms, Fitness classes, Sauna, Coffee shop, Restaurant, Breakfast available, Breakfast buffet, Breakfast in the room, Complimentary welcome drink, Kids' meals, Outdoor dining area, Special diet menus, Wine / champagne, Poolside bar, Raquetball offsite, Children Activities (Kid / Family Friendly), Highchairs available, Airport transportation, Car hire, Taxi service, Business Center with Internet Access, Conference facilities, Banquet room, Meeting rooms, Fax / photocopying, Photo copier / fax In business center, Spa, Body wrap, Couples massage, Facial treatments, Foot bath, Foot massage, Full body massage, Hand massage, Head massage, Makeup services, Manicure, Massage, Neck massage, Pedicure, Salon, Steam room, Waxing services, 24-hour security, Baggage storage, Concierge, Currency exchange, Executive lounge access, Gift shop, Newspaper, Outdoor furniture, Picnic area, Shops, ATM on site, Butler service, Doorperson, First aid kit, Umbrella, 24-hour front desk, Express check-in / check-out, Dry cleaning, Laundry service, Ironing service, Shoeshine, Blackout curtains, Air purifier, Air conditioning, Desk, Housekeeping, Minibar, Cable / satellite TV, Bath / shower, Bathrobes, Interconnected rooms available, Room service, Safe, Sofa, Telephone, VIP room facilities, Wardrobe / closet, Bottled water, Iron, Private bathrooms, Wake-up service / alarm clock, Refrigerator, Electric kettle, Flatscreen TV, On-demand movies, Complimentary toiletries, Hair dryer, City view, Pool view, Bridal suite, Non-smoking rooms, Suites, Family rooms, Smoking rooms available	4.5	https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/86/6e/77/exterior.jpg?w=900&h=-1&s=1
9	The Park New Delhi	NA	, Free parking, Free internet, Pool, Fitness Center with Gym / Workout Room, Free breakfast, Nightclub / DJ, Kids stay free, Babysitting, Valet parking, Wifi, Paid wifi, Outdoor pool, Sauna, Bar / lounge, Restaurant, Breakfast buffet, Swimup bar, Poolside bar, Car hire, Taxi service, Business Center with Internet Access, Conference facilities, Banquet room, Meeting rooms, Fax / photocopying, Spa, Salon, 24-hour security, Baggage storage, Concierge, Currency exchange, Newspaper, 24-hour front desk, Dry cleaning, Laundry service, Ironing service, Air conditioning, Desk, Dining area, Housekeeping, Coffee / tea maker, Minibar, Cable / satellite TV, Walk-in shower, Interconnected rooms available, Room service, Safe, Seating area, Separate living room, Telephone, VIP room facilities, Wardrobe / closet, Iron, Electric kettle, Flatscreen TV, Bath / shower, Complimentary toiletries, Hair dryer, City view, Landmark view, Pool view, Non-smoking rooms, Suites, Family rooms, Smoking rooms available	4.0	https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/39/3c/ee/the-park-new-delhi.jpg?w=900&h=-1&s=1
